-,-,-
-257, 63, -952
-256, 50, -950
-256, 50, -950
-275, 50, -957
-278, 49, -957
-261, 46, -955
-258, 54, -949
-271, 53, -947
-279, 51, -946
-279, 51, -946
-268, 47, -961
-240, 57, -964
-220, 45, -971
-212, 17, -985
-212, -30, -1014
-208, -106, -1070
-179, -234, -1126
-110, -404, -1174
-104, -583, -1220
-102, -796, -1319
-122, -973, -1448
-91, -978, -1360
-21, -780, -1224
42, -506, -1098
77, -138, -1027
-40, 224, -932
-40, 224, -932
-78, 625, -783
-61, 911, -750
-86, 1071, -726
-108, 1118, -650
-178, 980, -553
-290, 740, -449
-332, 489, -356
-350, 251, -287
-350, 251, -287
-336, 80, -208
-264, 3, -87
-157, -12, 18
-61, 43, 95
11, 92, 124
11, 92, 124
81, 75, 13
198, 12, -348
198, 12, -348
312, -51, -1057
422, -106, -1796
443, -168, -1997
410, -94, -1997
311, -14, -1997
205, 15, -1934
162, 69, -1552
150, 106, -1236
150, 106, -1236
125, 64, -1064
99, -26, -1025
114, -81, -989
-,-,-
-89, 80, -1017
-49, 43, -1030
-72, 0, -1086
-70, -62, -1082
-84, -142, -1092
-35, -278, -1178
5, -447, -1250
8, -546, -1229
19, -615, -1203
19, -615, -1203
9, -725, -1304
35, -752, -1372
51, -639, -1293
94, -381, -1077
155, 4, -909
191, 252, -954
235, 447, -1004
235, 447, -1004
189, 634, -899
50, 748, -698
-128, 751, -540
-126, 732, -410
-196, 599, -322
-239, 494, -164
-215, 402, 138
-242, 212, 403
-242, 212, 403
-141, 102, 569
61, 161, 566
210, 153, 188
298, -71, -681
342, -347, -1713
559, -276, -1997
559, -276, -1997
638, -82, -1997
489, 17, -1997
302, 59, -1950
234, 142, -1512
226, 109, -1194
210, 42, -1042
167, -50, -953
141, -178, -1025
230, -221, -1124
-,-,-
-14, -20, -1005
17, -130, -1096
17, -260, -1156
39, -329, -1180
67, -437, -1233
82, -548, -1314
82, -548, -1314
42, -573, -1280
-37, -601, -1240
-28, -614, -1248
10, -573, -1288
44, -438, -1233
134, -252, -1120
243, 21, -970
206, 303, -832
53, 448, -732
53, 448, -732
-88, 515, -692
-146, 573, -585
-205, 624, -278
-255, 631, 67
-249, 600, 316
-150, 584, 534
-150, 584, 534
-22, 554, 650
59, 455, 556
156, 251, -21
145, -59, -948
163, -225, -1829
245, -203, -1997
299, -203, -1997
299, 70, -1997
381, 472, -1981
373, 696, -1646
275, 645, -1361
145, 400, -1288
59, 125, -1325
29, -53, -1341
73, -99, -1305
161, -65, -1244
-,-,-
-162, -37, -955
-124, -38, -946
-101, -120, -1024
-40, -195, -1109
17, -259, -1135
56, -307, -1090
27, -407, -1114
7, -617, -1207
7, -617, -1207
21, -796, -1163
48, -802, -1097
78, -775, -993
149, -661, -950
233, -567, -986
315, -384, -1060
360, -120, -917
305, 207, -778
190, 510, -643
190, 510, -643
151, 698, -675
183, 742, -768
102, 675, -756
6, 574, -516
-32, 461, -157
-32, 461, -157
-135, 246, 242
-34, 346, 656
302, 518, 693
514, 303, -321
543, -43, -1628
554, -201, -1997
451, -127, -1997
363, 41, -1997
363, 41, -1997
408, 350, -1756
443, 449, -1333
380, 427, -1057
306, 259, -914
224, 25, -1021
201, -159, -1195
189, -223, -1270
233, -138, -1205
261, -26, -1067
303, 57, -990
303, 57, -990
320, 89, -956
344, 136, -934
359, 161, -920
324, 123, -928
299, 59, -997
-,-,-
123, -466, -1252
160, -457, -1274
170, -428, -1186
170, -428, -1100
148, -389, -1100
169, -382, -1059
188, -354, -1077
217, -321, -1073
218, -292, -1084
220, -262, -1120
200, -188, -1115
182, -88, -1045
167, 64, -1009
155, 199, -1000
117, 328, -891
25, 419, -823
-59, 515, -849
-59, 515, -849
-129, 645, -846
-171, 769, -754
-174, 788, -662
-145, 720, -582
-102, 677, -465
-49, 596, -261
-28, 417, -144
-62, 185, -107
-62, 185, -107
-81, 4, 33
-115, -126, 140
-73, -109, 98
58, -50, -218
58, -50, -218
260, -16, -692
455, 55, -1360
547, 47, -1944
663, 161, -1997
690, 298, -1997
548, 313, -1944
385, 279, -1602
385, 279, -1602
284, 224, -1258
243, 154, -1034
206, 62, -970
211, 16, -986
262, 11, -1045
299, 50, -1112
320, 103, -1129
320, 103, -1129
321, 127, -1123
-,-,-
-5, -371, -938
12, -446, -1025
64, -510, -1070
103, -516, -1051
139, -518, -997
157, -525, -1014
157, -507, -1023
169, -468, -993
113, -456, -1025
113, -456, -1025
80, -436, -1129
129, -335, -1173
173, -120, -1112
201, 92, -1116
170, 219, -1209
152, 367, -1123
72, 539, -959
-2, 622, -899
-76, 596, -956
-76, 596, -956
-130, 573, -845
-222, 544, -547
-255, 442, -257
-233, 333, -42
-215, 205, 102
-168, 67, 263
-108, -13, 362
-108, -13, 362
75, 27, 367
312, 159, 222
446, 136, -326
535, 61, -1371
535, 61, -1371
584, 89, -1987
640, 229, -1997
556, 326, -1997
383, 229, -1987
207, 159, -1742
185, 145, -1329
489, 3, -1828
57, 60, -705
57, 60, -705
108, 41, -468
258, -3, -1324
194, -24, -1083
118, 48, -719
118, 48, -719
-,-,-
-100, -50, -945
-100, -50, -945
-57, -66, -932
-43, -125, -1005
-39, -227, -1101
-30, -329, -1148
-61, -399, -1135
-43, -441, -1048
8, -504, -1012
35, -606, -1075
36, -668, -1137
83, -640, -1108
129, -570, -1030
42, -522, -1085
42, -522, -1085
17, -381, -1191
135, -121, -1197
166, 144, -1162
191, 452, -1029
200, 725, -893
170, 867, -736
26, 837, -624
-44, 746, -468
-44, 746, -468
-75, 629, -334
-72, 505, -154
-27, 405, 50
13, 368, 164
47, 380, 188
47, 380, 188
31, 328, 172
-11, 261, -179
147, 180, -746
296, 202, -1218
296, 202, -1218
348, 212, -1624
335, 176, -1962
331, 158, -1986
290, 275, -1919
247, 340, -1766
245, 337, -1578
317, 348, -1465
674, 54, -1903
-13, 279, -782
-13, 279, -782
111, 199, -633
137, 70, -691
181, 48, -845
175, 8, -895
188, -1, -924
-,-,-
-196, -101, -914
-279, -145, -926
-249, -215, -1002
-181, -271, -1073
-142, -349, -1129
-105, -462, -1162
-121, -559, -1245
-111, -598, -1323
-114, -630, -1284
-132, -622, -1165
-145, -567, -994
-93, -427, -892
-35, -253, -825
6, -84, -712
6, 47, -647
6, 47, -647
-222, 137, -721
-330, 300, -761
-279, 498, -829
-196, 750, -813
-117, 964, -537
-64, 1027, -179
-64, 1027, -179
25, 759, 36
9, 318, 303
-31, -60, 628
-31, -206, 800
-31, -206, 800
79, -137, 667
163, -182, 99
274, -244, -807
367, -254, -1899
496, -14, -1997
642, 349, -1997
641, 529, -1997
641, 529, -1997
566, 520, -1968
496, 403, -1733
304, 186, -1401
190, -14, -1205
120, -190, -1157
155, -198, -1139
205, -93, -1089
261, 33, -1048
319, 97, -1088
305, 94, -1156
305, 94, -1156
-,-,-
-104, -196, -1000
-88, -261, -1111
-42, -341, -1164
-24, -387, -1152
-24, -387, -1152
-8, -424, -1173
23, -544, -1294
27, -613, -1366
26, -586, -1303
-2, -488, -1246
35, -333, -1190
102, -154, -1158
143, 45, -1105
