-,-,-
-273, 79, -1007
-249, 88, -1065
-244, 87, -1024
-211, 142, -992
-78, 216, -1037
122, 380, -1128
122, 380, -1128
359, 584, -1149
597, 762, -1166
713, 922, -1054
614, 879, -900
414, 653, -738
179, 313, -638
-125, -215, -702
-608, -963, -757
-1009, -1632, -772
-1140, -1993, -916
-1143, -1998, -1040
-963, -1998, -1068
-533, -1955, -1049
7, -1435, -1068
360, -893, -1245
477, -390, -1368
535, 116, -1395
455, 417, -1319
521, 875, -1174
600, 1335, -1075
694, 1855, -1008
747, 1997, -717
747, 1997, -717
927, 1997, -289
962, 1956, -195
486, 1105, -591
54, 80, -965
-316, -767, -1316
-706, -1390, -1522
-862, -1516, -1638
-743, -1338, -1564
-577, -1035, -1444
-,-,-
221, 147, -943
342, 264, -954
467, 368, -1010
643, 520, -1081
786, 713, -1017
854, 743, -950
899, 724, -925
899, 724, -925
611, 454, -1046
213, 37, -1128
-282, -486, -1027
-563, -826, -853
-789, -1303, -888
-982, -1830, -920
-941, -1989, -909
-775, -1912, -855
-535, -1736, -805
-241, -1571, -909
-14, -1352, -1041
260, -911, -1087
474, -441, -1073
547, -30, -1088
281, 111, -1084
275, 518, -1166
450, 951, -1241
665, 1352, -1255
857, 1726, -1094
805, 1880, -729
694, 1789, -488
632, 1455, -461
632, 1455, -461
526, 1022, -501
390, 577, -630
168, 9, -1021
-219, -715, -1321
-494, -1009, -1333
-514, -1044, -1288
-542, -1119, -1503
-465, -1009, -1560
-369, -775, -1485
-195, -469, -1368
-,-,-
175, 264, -1063
172, 265, -1034
245, 304, -998
245, 304, -998
443, 435, -1026
637, 540, -1080
692, 587, -1007
679, 664, -879
489, 510, -944
119, 116, -1045
-146, -181, -1083
-300, -369, -963
-400, -534, -910
-644, -1023, -969
-840, -1450, -1025
-877, -1632, -1010
-805, -1687, -974
-662, -1671, -942
-405, -1502, -931
-94, -1174, -917
64, -861, -979
283, -421, -1053
371, 10, -1075
431, 456, -1076
431, 456, -1076
593, 872, -1149
773, 1242, -1153
937, 1599, -1006
950, 1756, -773
786, 1676, -516
570, 1415, -450
366, 985, -576
80, 421, -785
-172, -78, -977
-408, -662, -1409
-842, -1268, -1806
-1072, -1428, -1762
-919, -1136, -1557
-523, -640, -1337
-157, -207, -1189
38, 72, -1084
113, 269, -969
129, 346, -930
129, 346, -930
-,-,-
-160, -27, -905
-222, -4, -865
-181, 27, -849
-100, 96, -905
42, 191, -940
42, 191, -940
239, 321, -983
438, 454, -1030
694, 629, -1024
895, 805, -979
913, 844, -868
849, 744, -763
849, 744, -763
590, 495, -738
94, -87, -896
-483, -781, -1157
-961, -1372, -1330
-1245, -1784, -1331
-1282, -1908, -1318
-1149, -1852, -1222
-889, -1612, -1024
-520, -1283, -929
-187, -1016, -914
163, -386, -1013
163, -386, -1013
311, 54, -1006
446, 582, -980
524, 1003, -1064
924, 1548, -1164
1097, 1897, -978
939, 1728, -636
536, 1168, -541
207, 671, -683
-141, 177, -924
-537, -358, -1200
-774, -693, -1333
-822, -732, -1362
-655, -634, -1343
-,-,-
334, 91, -1120
326, 117, -1123
449, 229, -1130
502, 302, -1114
574, 378, -1045
574, 378, -1045
750, 512, -1009
785, 614, -908
572, 560, -815
336, 418, -789
-49, 6, -871
-338, -349, -1042
-535, -659, -1017
-676, -861, -965
-821, -1211, -995
-905, -1548, -1047
-846, -1662, -1041
-694, -1592, -1009
-468, -1470, -1015
-226, -1304, -1010
29, -989, -937
93, -638, -904
211, -249, -929
397, 243, -966
605, 824, -949
605, 824, -949
812, 1416, -1019
972, 1820, -1008
964, 1903, -876
728, 1572, -760
376, 1008, -764
0, 407, -994
-350, -181, -1156
-640, -653, -1298
-864, -990, -1452
-925, -1030, -1519
-761, -806, -1426
-478, -518, -1347
-,-,-
363, 16, -1270
263, 7, -1236
147, 73, -1187
79, 53, -1090
55, 94, -1014
55, 94, -1014
142, 152, -950
258, 218, -918
426, 282, -932
604, 404, -872
784, 546, -841
779, 617, -831
779, 617, -831
590, 483, -871
424, 305, -956
20, -13, -1109
-379, -323, -1181
-590, -479, -1106
-689, -623, -1048
-732, -804, -1073
-756, -1047, -1077
-752, -1220, -1087
-689, -1329, -1131
-598, -1380, -1189
-422, -1241, -1172
-254, -1042, -1104
-109, -820, -1039
61, -530, -981
216, -241, -912
458, 205, -916
748, 651, -977
998, 1135, -971
1103, 1540, -822
1049, 1607, -650
805, 1386, -639
458, 1001, -679
178, 606, -817
178, 606, -817
-92, 244, -1070
-369, -136, -1221
-585, -462, -1421
-730, -678, -1579
-742, -729, -1575
-613, -626, -1525
-400, -437, -1432
-,-,-
-121, 133, -942
-120, 132, -920
-130, 108, -959
-59, 135, -990
101, 211, -1013
308, 318, -1064
308, 318, -1064
501, 422, -1093
671, 511, -1037
776, 687, -884
785, 743, -783
667, 649, -762
540, 478, -824
339, 244, -909
-48, -136, -1059
-48, -136, -1059
-290, -350, -1030
-442, -528, -983
-638, -788, -1104
-910, -1188, -1143
-972, -1366, -1119
-798, -1247, -1051
-620, -1149, -1002
-399, -1010, -1006
-179, -772, -1044
-5, -556, -1063
97, -368, -1050
125, -292, -1059
183, -86, -1126
229, 178, -1121
229, 178, -1121
271, 452, -1100
288, 603, -1106
388, 744, -1061
394, 811, -1074
468, 902, -975
537, 950, -779
492, 807, -748
472, 739, -822
472, 739, -822
514, 654, -832
432, 527, -894
354, 427, -903
172, 168, -970
-156, -136, -1173
-354, -244, -1237
-417, -296, -1195
-444, -398, -1217
-456, -445, -1314
-462, -450, -1372
-412, -405, -1341
-,-,-
59, 213, -962
59, 213, -962
151, 265, -997
231, 325, -1017
344, 369, -1029
426, 441, -971
469, 459, -902
546, 463, -932
546, 463, -932
587, 478, -943
551, 498, -942
377, 361, -1004
84, 141, -1063
-44, -20, -1052
-132, -142, -1020
-369, -436, -1108
-581, -697, -1153
-659, -839, -1092
-629, -904, -1041
-709, -1028, -1054
-701, -1097, -1070
-606, -1071, -1109
-562, -1038, -1124
-544, -1012, -1114
-466, -907, -1076
-305, -776, -1003
-156, -604, -990
-20, -406, -1007
105, -199, -1033
217, -58, -1067
244, 72, -1056
337, 350, -1059
396, 550, -960
475, 707, -936
475, 707, -936
558, 782, -938
536, 838, -901
546, 939, -773
534, 967, -689
509, 934, -696
518, 908, -774
518, 908, -774
565, 884, -829
580, 839, -896
485, 674, -908
337, 436, -890
202, 179, -965
-120, -262, -1182
-535, -638, -1333
-749, -825, -1303
-776, -837, -1351
-630, -657, -1408
-445, -489, -1351
-262, -402, -1255
-149, -256, -1250
-,-,-
412, 241, -984
477, 216, -1031
596, 232, -1190
694, 310, -1165
580, 297, -1036
435, 208, -983
435, 208, -983
370, 248, -982
188, 116, -947
-35, -25, -1000
-314, -252, -1024
-530, -457, -986
-636, -581, -1005
-820, -811, -1077
-936, -1033, -1080
-886, -1124, -1025
-746, -1107, -974
-602, -1106, -974
-454, -1076, -988
-299, -1021, -996
-167, -911, -1036
-124, -876, -1124
-104, -793, -1147
53, -552, -1055
267, -224, -946
470, 145, -959
629, 450, -998
649, 616, -1003
737, 821, -1009
831, 998, -994
831, 998, -994
862, 1139, -874
886, 1209, -794
871, 1178, -764
785, 1042, -781
729, 923, -819
669, 761, -856
553, 550, -893
292, 269, -960
292, 269, -960
-79, -132, -1028
-384, -470, -1162
-693, -790, -1389
-855, -927, -1523
-870, -903, -1605
-778, -872, -1657
-675, -837, -1676
-547, -686, -1657
-,-,-
533, 229, -1023
607, 241, -1028
666, 278, -983
813, 290, -1012
1042, 356, -1048
1205, 360, -1067
916, 301, -1055
916, 301, -1055
494, 64, -974
200, -107, -803
-135, -358, -818
-538, -872, -940
-832, -1299, -1037
-997, -1514, -1060
-1053, -1617, -1115
-1103, -1744, -1142
-994, -1742, -1208
-729, -1532, -1168
-290, -1102, -1144
-86, -827, -1111
70, -655, -1074
249, -483, -1106
249, -483, -1106
666, 71, -1135
973, 615, -1025
1122, 943, -978
1194, 1224, -964
1134, 1479, -762
973, 1538, -668
810, 1492, -712
611, 1290, -786
457, 1074, -888
280, 841, -993
76, 407, -1054
76, 407, -1054
-268, -150, -1325
-572, -627, -1547
-801, -1003, -1697
-889, -1124, -1773
-801, -1049, -1736
-,-,-
-75, -358, -908
-86, -347, -971
-60, -323, -1021
-5, -178, -1016
76, -110, -1040
304, 30, -1103
560, 274, -1126
734, 439, -1105
756, 470, -1069
516, 301, -1060
221, 85, -1059
221, 85, -1059
-98, -98, -1049
-404, -368, -1014
-658, -557, -1031
-855, -840, -1017
-930, -998, -999
-930, -1082, -981
-910, -1186, -998
-861, -1290, -988
-683, -1203, -985
-467, -1032, -948
-321, -894, -925
-191, -769, -970
-93, -645, -1010
85, -340, -1016
269, 2, -1021
438, 360, -1026
634, 739, -1052
715, 987, -1058
783, 1171, -1058
783, 1287, -936
734, 1296, -805
734, 1296, -805
723, 1224, -780
635, 1036, -749
515, 837, -750
369, 524, -814
10, 2, -952
-417, -428, -1214
-755, -704, -1354
-1043, -987, -1418
-1042, -1043, -1607
-825, -874, -1659
-,-,-
759, 0, -1229
847, -35, -1551
847, -35, -1551
786, -3, -1459
655, 34, -1262
422, -3, -1086
28, -153, -1073
-225, -400, -1025
-287, -366, -953
-274, -361, -848
-436, -558, -967
-675, -837, -1015
-826, -1029, -1039
-869, -1161, -978
-853, -1245, -959
-796, -1329, -1007
-653, -1305, -1069
-468, -1143, -1059
-269, -948, -1022
-79, -742, -1009
67, -500, -1025
256, -196, -1032
350, 105, -979
456, 407, -982
681, 758, -987
889, 1122, -1015
907, 1271, -1069
907, 1271, -1069
825, 1300, -1059
708, 1265, -965
629, 1219, -888
532, 1060, -808
451, 823, -770
129, 394, -863
-286, -136, -1000
-694, -771, -1300
-924, -1087, -1519
-842, -1015, -1591
-,-,-
678, 129, -916
678, 129, -916
766, 212, -976
871, 69, -1200
1019, 97, -1493
1073, 93, -1586
905, 53, -1395
533, 41, -1167
114, -160, -1083
-266, -454, -1078
-578, -725, -1045
-768, -954, -993
-962, -1246, -971
-1045, -1493, -1035
-959, -1573, -1097
-782, -1509, -1100
-557, -1410, -1065
-352, -1344, -1064
-120, -1166, -1059
121, -843, -1023
203, -608, -992
183, -447, -1030
250, -170, -1035
376, 177, -1023
419, 586, -1099
488, 994, -1146
668, 1355, -1097
789, 1566, -1104
761, 1602, -1015
750, 1555, -736
750, 1555, -736
717, 1341, -556
570, 906, -609
501, 488, -738
